Condition,Drug,Type,Reviews,Effective,Ease of Use,Satisfaction,Average Price,Form
Others,L Norgest/E.Estradiol-E.Estrad 6,RX,18,3.33,4.33,1.17,219.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 8,RX,17,4.67,4.5,4.5,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 9,RX,17,5.0,4.92,3.58,31.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 11,RX,17,4.17,4.17,2.25,181.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 18,RX,17,3.92,4.08,3.42,30.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 10,RX,17,4.5,4.38,3.63,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 11,RX,16,4.75,4.38,3.13,31.99,Oral Solids
Others,Levonorg-Eth Estrad Triphasic 3,RX,16,4.45,4.55,2.55,30.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 12,RX,14,3.67,5.0,4.0,31.99,Oral Solids
Others,Medroxyprogesterone 3,RX,14,4.73,4.55,3.0,311.99,Injectables
Others,Levonorgestrel-Ethinyl Estrad 19,RX,13,4.0,3.44,2.22,30.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 12,RX,12,4.5,4.38,2.5,181.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 13,RX,10,3.67,4.33,3.67,181.99,Oral Solids
Others,Noreth-Ethinyl Estradiol-Iron 3,RX,10,3.57,4.14,2.43,135.99,Oral Solids
Others,Norgestrel-Ethinyl Estradiol 4,RX,9,3.67,3.67,3.67,27.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 6,RX,9,2.0,2.33,1.0,28.99,Oral Solids
Others,Triptorelin Pamoate,RX,8,3.33,3.5,2.17,2927.99,Injectables
Others,Norethin-E.Estradiol Triphasic 4,RX,8,4.4,3.6,1.8,31.99,Oral Solids
Others,Levonorg-Eth Estrad Triphasic 4,RX,8,4.38,4.75,4.13,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 20,RX,8,5.0,5.0,3.67,30.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 13,RX,8,3.33,3.33,3.0,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 14,RX,8,4.0,4.2,3.8,31.99,Oral Solids
Others,Levonorg-Eth Estrad Triphasic 5,RX,7,5.0,5.0,5.0,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 21,RX,7,4.6,4.2,3.2,30.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 7,RX,7,4.5,4.25,3.0,28.99,Oral Solids
Others,Medroxyprogesterone 4,RX,6,4.4,4.8,3.2,98.99,Injectables
Others,Norethindrone-Ethin Estradiol 15,RX,6,5.0,5.0,4.6,31.99,Oral Solids
Others,Norgestrel-Ethinyl Estradiol 5,RX,6,3.0,5.0,3.0,27.99,Oral Solids
Others,Danazol 2,RX,6,2.25,3.5,2.0,119.61,Oral Solids
Others,Norgestrel-Ethinyl Estradiol 6,RX,6,4.67,5.0,3.67,27.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 22,RX,6,3.8,4.6,1.8,30.99,Oral Solids
Others,Noreth-Ethinyl Estradiol-Iron 4,RX,6,3.25,4.5,2.25,135.99,Oral Solids
Others,Nafarelin,RX,5,3.0,3.0,2.0,3339.99,Oral Liquids
Others,Triptorelin Pamoate 2,RX,5,3.8,2.6,2.6,2927.99,Injectables
Others,Norethindrone-Ethin Estradiol 16,RX,5,4.75,5.0,4.25,31.99,Oral Solids
Others,Norethin-E.Estradiol Triphasic 5,RX,5,3.5,2.0,1.0,31.99,Oral Solids
Others,Norethin-E.Estradiol Triphasic 6,RX,5,3.33,5.0,2.33,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 17,RX,4,5.0,5.0,5.0,31.99,Oral Solids
Others,Goserelin,RX,4,4.0,5.0,5.0,701.2,Others
Others,Norethin-E.Estradiol Triphasic 7,RX,4,4.67,3.67,3.33,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 18,RX,4,5.0,4.67,2.33,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 19,RX,4,4.5,4.0,2.5,31.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 8,RX,4,2.33,3.33,2.0,28.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 14,RX,4,5.0,4.5,5.0,181.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 15,RX,4,3.0,5.0,1.0,181.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 23,RX,4,5.0,3.67,2.0,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 24,RX,4,2.67,4.67,2.33,30.99,Oral Solids
Others,Norethin-Eth Estrad Biphasic,RX,4,4.5,4.25,3.0,31.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 25,RX,3,4.67,4.33,3.33,30.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 20,RX,3,1.0,4.5,1.5,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 21,RX,3,5.0,4.0,4.5,31.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 16,RX,3,1.0,1.0,1.0,181.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 9,RX,3,5.0,5.0,2.5,28.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 22,RX,3,4.5,4.0,2.0,31.99,Oral Solids
Others,Noreth-Ethinyl Estradiol-Iron 5,RX,3,2.0,4.0,2.0,135.99,Oral Solids
Others,Norethin-E.Estradiol Triphasic 8,RX,3,2.0,5.0,1.0,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 23,RX,3,5.0,5.0,5.0,31.99,Oral Solids
Others,Triptorelin Pamoate 3,RX,2,4.0,3.0,3.0,2927.99,Injectables
Others,Norgestrel-Ethinyl Estradiol 7,RX,2,5.0,5.0,5.0,27.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 24,RX,2,5.0,5.0,5.0,31.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 26,RX,2,3.0,3.0,3.0,30.99,Oral Solids
Others,Medroxyprogesterone 5,RX,2,3.5,5.0,3.0,311.99,Injectables
Others,Norethindrone-E.Estradiol-Iron 17,RX,2,5.0,5.0,3.5,181.99,Oral Solids
Others,"Norethin-E.Estradiol Triphasic, Norethindrone-Ethin Estradiol",RX,2,1.0,5.0,1.0,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 25,RX,2,2.5,3.0,2.5,31.99,Oral Solids
Others,Norgestrel-Ethinyl Estradiol 8,RX,2,5.0,5.0,4.5,27.99,Oral Solids
Others,Triptorelin Pamoate 4,RX,2,4.0,4.5,2.0,2927.99,Injectables
Others,Norethindrone-Ethin Estradiol 26,RX,2,5.0,4.0,5.0,31.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 27,RX,2,4.0,5.0,4.0,31.99,Oral Solids
Others,Levonorg-Eth Estrad Triphasic 6,RX,2,1.0,3.0,1.0,30.99,Oral Solids
Others,Norethindrone Ac-Eth Estradiol 10,RX,1,5.0,5.0,4.0,28.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 28,RX,1,5.0,5.0,1.0,31.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 27,RX,1,4.0,4.0,3.0,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 28,RX,1,5.0,5.0,5.0,30.99,Oral Solids
Others,Levonorgestrel-Ethinyl Estrad 29,RX,1,5.0,5.0,2.0,30.99,Oral Solids
Others,Norgestrel-Ethinyl Estradiol 9,RX,1,4.0,4.0,1.0,27.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 18,RX,1,3.0,4.0,2.0,181.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 19,RX,1,5.0,5.0,5.0,181.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 29,RX,1,4.0,4.0,4.0,31.99,Oral Solids
Others,Noreth-Ethinyl Estradiol-Iron 6,RX,1,4.0,4.0,4.0,135.99,Oral Solids
Others,Noreth-Ethinyl Estradiol-Iron 7,RX,1,5.0,5.0,5.0,135.99,Oral Solids
Others,Levonorg-Eth Estrad Triphasic 7,RX,1,4.0,5.0,1.0,30.99,Oral Solids
Others,L Norgest/E.Estradiol-E.Estrad 7,RX,1,5.0,4.0,3.0,219.99,Oral Solids
Others,Norethindrone-E.Estradiol-Iron 20,RX,1,1.0,1.0,1.0,181.99,Oral Solids
Others,Norethindrone-Ethin Estradiol 30,RX,1,5.0,5.0,4.0,31.99,Oral Solids
Pain and Inflammation,Naproxen,RX,740,2.82,3.7,2.42,15.59,Oral Solids
Pain and Inflammation,Indomethacin,RX,315,3.97,4.25,3.67,15.99,Oral Solids
Pain and Inflammation,Ibuprofen,RX/OTC,271,3.37,3.98,3.13,13.49,Oral Solids
Pain and Inflammation,Naproxen Sodium,OTC,186,3.5,4.24,3.13,61.39,Oral Solids
Pain and Inflammation,Acetaminophen 39,OTC,135,3.07,3.85,3.15,11.99,Oral Solids
Pain and Inflammation,Naproxen Sodium 2,RX/OTC,104,3.12,4.23,2.73,61.39,Oral Solids
Pain and Inflammation,Indomethacin 2,RX,82,4.22,4.41,4.06,15.99,Oral Solids
Pain and Inflammation,Acetaminophen 40,OTC,71,3.31,4.06,3.13,11.99,Oral Solids
Pain and Inflammation,Naproxen 2,RX,64,3.27,3.64,2.91,15.59,Oral Solids
Pain and Inflammation,Aspirin,RX/OTC,55,4.27,4.64,4.55,11.99,Oral Solids
Pain and Inflammation,Doxylamin-PSE-DM-Acetaminophen,OTC,32,3.26,4.21,2.63,6.87,Oral Liquids
Pain and Inflammation,Ibuprofen 2,RX/OTC,29,3.64,4.18,3.64,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 3,OTC,26,4.2,4.4,4.2,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 4,OTC,24,4.21,4.79,4.0,13.49,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen,OTC,21,2.75,4.0,2.44,27.54,Oral Solids
Pain and Inflammation,Pseudoephedrine-Ibuprofen,OTC,19,4.92,4.92,4.75,18.99,Oral Solids
Pain and Inflammation,Ibuprofen 5,OTC,16,4.75,5.0,4.75,13.49,Oral Solids
Pain and Inflammation,Acetaminophen 41,OTC,16,3.73,4.36,3.55,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 42,OTC,15,4.5,4.0,4.25,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 43,OTC,15,3.0,4.25,2.5,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 44,OTC,13,2.2,4.0,2.8,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 45,OTC,11,3.5,4.0,3.75,11.99,Oral Solids
Pain and Inflammation,Ibuprofen 6,OTC,11,4.0,4.4,4.2,13.49,Oral Solids
Pain and Inflammation,Acetaminophen-Caffeine,OTC,11,5.0,4.88,4.88,9.99,Oral Solids
Pain and Inflammation,Indomethacin 3,RX,10,4.4,4.6,4.2,15.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen,RX,10,4.0,3.8,4.0,10.99,Oral Solids
Pain and Inflammation,Naproxen Sodium 3,RX,9,3.33,3.67,3.0,61.39,Oral Solids
Pain and Inflammation,Doxylamin-PSE-DM-Acetaminophen 2,OTC,9,4.33,5.0,4.33,6.87,Oral Liquids
Pain and Inflammation,Aspirin 2,OTC,8,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Chlorpheniram-DM-Acetaminophen,OTC,8,5.0,5.0,5.0,19.99,Oral Solids
Pain and Inflammation,Acetaminophen 46,OTC,8,3.67,4.67,4.33,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 47,OTC,7,4.5,4.5,4.5,11.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 2,RX,7,3.5,5.0,3.25,10.99,Oral Solids
Pain and Inflammation,"Choline,Magnesium Salicylate",RX,6,2.33,4.0,1.67,48.69,Oral Liquids
Pain and Inflammation,Acetaminophen 48,OTC,6,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 49,OTC,6,2.0,2.0,1.0,11.99,Oral Solids
Pain and Inflammation,Naproxen Sodium 4,OTC,5,4.0,5.0,5.0,61.39,Oral Solids
Pain and Inflammation,Doxylamin-PSE-DM-Acetaminophen 3,OTC,5,2.0,2.5,1.0,6.87,Oral Liquids
Pain and Inflammation,"Aspirin, Buffered",OTC,5,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Aspirin 3,OTC,5,3.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 50,OTC,5,1.5,2.5,1.5,11.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 3,OTC,5,4.5,4.5,5.0,10.99,Oral Solids
Pain and Inflammation,Aspirin 4,OTC,5,4.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 51,OTC,5,3.0,4.0,3.0,11.99,Oral Solids
Pain and Inflammation,Naproxen-Pseudoephedrine,OTC,5,4.5,5.0,3.0,18.99,Oral Solids
Pain and Inflammation,Acetaminophen 52,OTC,5,4.5,4.0,4.5,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 53,RX,5,4.0,4.75,4.0,61.99,Injectables
Pain and Inflammation,Naproxen Sodium 5,RX,5,4.0,5.0,4.0,61.39,Oral Solids
Pain and Inflammation,"Chlorphen-PE-DM-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",OTC,5,5.0,5.0,5.0,14.99,Oral Liquids
Pain and Inflammation,DM-PE-Acetam/DM-Acetam-Doxylam,OTC,5,3.0,3.0,3.0,8.69,Oral Liquids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 4,OTC,4,3.67,4.33,3.33,10.99,Oral Solids
Pain and Inflammation,Aspirin 5,OTC,4,5.0,5.0,4.5,11.99,Oral Solids
Pain and Inflammation,Ibuprofen 7,OTC,4,4.0,4.67,4.33,13.49,Oral Solids
Pain and Inflammation,Aspirin 6,OTC,4,4.5,4.5,4.5,11.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 5,RX,4,4.67,5.0,4.33,10.99,Oral Solids
Pain and Inflammation,Cpm-Pseudoeph-DM-Acetaminophen,OTC,4,5.0,5.0,5.0,8.28,Oral Solids
Pain and Inflammation,Acetaminophen 54,RX,4,1.67,3.0,1.67,61.99,Injectables
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 6,RX/OTC,4,2.5,4.0,2.5,10.99,Oral Solids
Pain and Inflammation,"Chlorpheniramine-Acetaminophen, Chlorphen-PPA-Acetaminophen",OTC,4,4.0,3.0,5.0,10.49,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 2,OTC,4,3.5,3.0,1.5,27.54,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 3,OTC,4,2.75,4.25,2.5,27.54,Oral Solids
Pain and Inflammation,Ibuprofen 8,OTC,4,2.5,3.0,1.0,13.49,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 4,OTC,4,3.0,4.0,2.0,27.54,Oral Solids
Pain and Inflammation,Doxylamine-DM-Acetaminophen,OTC,4,5.0,5.0,4.5,9.99,Oral Liquids
Pain and Inflammation,Aspirin 7,OTC,3,4.0,5.0,4.0,11.99,Oral Solids
Pain and Inflammation,"Aspirin, Buffered 2",OTC,3,4.0,4.5,5.0,11.99,Oral Solids
Pain and Inflammation,Aspirin 8,OTC,3,1.0,4.0,1.0,11.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 7,RX,3,3.0,3.5,3.0,10.99,Oral Solids
Pain and Inflammation,Ibuprofen 9,RX,3,4.5,4.5,4.0,13.49,Oral Solids
Pain and Inflammation,Pseudoephedrine-Ibuprofen 2,OTC,3,2.0,4.0,1.0,18.99,Oral Solids
Pain and Inflammation,Aspirin 9,OTC,3,4.5,4.5,4.5,11.99,Oral Solids
Pain and Inflammation,Naproxen-Pseudoephedrine 2,OTC,3,4.33,4.33,4.33,18.99,Oral Solids
Pain and Inflammation,Naproxen-Pseudoephedrine 3,OTC,3,4.0,4.0,4.0,18.99,Oral Solids
Pain and Inflammation,Naproxen-Pseudoephedrine 4,OTC,3,5.0,5.0,5.0,18.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 8,RX,3,3.5,4.0,3.5,10.99,Oral Solids
Pain and Inflammation,Chlorpheniram-DM-Acetaminophen 2,OTC,3,5.0,5.0,5.0,8.79,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 2,OTC,3,1.0,5.0,1.0,9.99,Oral Liquids
Pain and Inflammation,Naproxen Sodium 6,OTC,3,3.5,4.0,3.0,61.39,Oral Solids
Pain and Inflammation,Cpm-Pseudoeph-DM-Acetaminophen 2,OTC,3,4.0,4.5,4.5,8.28,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 9,RX/OTC,3,4.0,5.0,4.0,10.99,Oral Solids
Pain and Inflammation,Acetaminophen 55,OTC,3,5.0,5.0,3.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 56,OTC,3,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 3,OTC,3,1.0,4.33,1.0,9.99,Oral Liquids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 4,OTC,3,2.0,1.0,1.0,9.99,Oral Liquids
Pain and Inflammation,Ibuprofen 10,OTC,3,4.0,4.5,4.0,13.49,Oral Solids
Pain and Inflammation,"Aspirin, Buffered 3",OTC,2,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,"Aspirin, Buffered 4",OTC,2,3.0,4.0,3.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 57,OTC,2,4.0,5.0,4.0,11.99,Oral Solids
Pain and Inflammation,"Acetaminophen-Pamabrom, Ibuprofen",OTC,2,5.0,5.0,5.0,13.49,Oral Solids
Pain and Inflammation,Cpm-PPA-DM-Acetaminophen,OTC,2,4.0,5.0,4.5,11.99,Oral Solids
Pain and Inflammation,Ibuprofen 11,OTC,2,5.0,5.0,5.0,13.49,Oral Solids
Pain and Inflammation,Acetaminophen 58,OTC,2,4.0,4.0,4.0,11.99,Oral Solids
Pain and Inflammation,Naproxen Sodium 7,OTC,2,4.0,5.0,5.0,61.39,Oral Solids
Pain and Inflammation,"Doxylamin-PSE-DM-Acetaminophen, Chlorphen-PE-DM-Acetaminophen",OTC,2,3.0,4.0,4.0,6.87,Oral Liquids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 10,OTC,2,2.0,4.0,1.5,9.99,Oral Solids
Pain and Inflammation,Acetaminophen 59,OTC,2,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 60,OTC,2,3.0,4.0,1.0,11.99,Oral Solids
Pain and Inflammation,Phenylephrine-DM-Acetaminophen,OTC,2,4.0,5.0,4.0,12.11,Others
Pain and Inflammation,Acetaminophen 61,OTC,2,1.0,1.0,2.0,11.99,Oral Solids
Pain and Inflammation,Aspirin 10,OTC,2,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 5,OTC,2,4.5,4.5,5.0,27.54,Oral Solids
Pain and Inflammation,"Cpm-PPA-DM-Acetaminophen, Acetaminophen 2",OTC,2,5.0,5.0,2.0,11.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 11,RX,2,4.0,5.0,4.0,10.99,Oral Solids
Pain and Inflammation,Ibuprofen 12,OTC,2,4.0,4.0,5.0,13.49,Oral Solids
Pain and Inflammation,Ibuprofen 13,OTC,2,3.5,4.5,2.5,13.49,Oral Solids
Pain and Inflammation,Aspirin 11,OTC,2,2.5,4.0,2.0,11.99,Oral Solids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 5,OTC,2,1.0,1.0,1.0,6.87,Oral Liquids
Pain and Inflammation,Cpm-Pseudoeph-DM-Acetaminophen 3,OTC,2,5.0,5.0,4.0,8.28,Oral Solids
Pain and Inflammation,Acetaminophen 62,OTC,2,1.5,3.0,1.5,11.99,Oral Solids
Pain and Inflammation,"Choline,Magnesium Salicylate 2",RX,2,5.0,5.0,5.0,48.69,Oral Liquids
Pain and Inflammation,Naproxen-Pseudoephedrine 5,OTC,2,5.0,5.0,5.0,18.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 12,OTC,2,5.0,5.0,5.0,10.99,Oral Solids
Pain and Inflammation,Acetaminophen 63,OTC,2,5.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,Aspirin 12,OTC,2,2.0,2.5,1.5,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 64,OTC,2,3.0,4.0,2.0,11.99,Oral Solids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 6,OTC,2,5.0,5.0,5.0,9.99,Oral Liquids
Pain and Inflammation,Acetaminophen 65,OTC,2,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 6,OTC,2,2.5,4.0,2.0,27.54,Oral Solids
Pain and Inflammation,Acetaminophen 66,OTC,2,2.0,4.0,3.0,11.99,Oral Solids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 7,OTC,2,5.0,5.0,5.0,6.87,Oral Liquids
Pain and Inflammation,Doxylamin-PSE-DM-Acetaminophen 4,OTC,2,4.5,4.5,4.5,6.87,Oral Liquids
Pain and Inflammation,Pseudoephedrine-Ibuprofen 3,OTC,1,2.0,2.0,2.0,18.99,Oral Solids
Pain and Inflammation,Pseudoephedrine-Ibuprofen 4,OTC,1,4.0,5.0,5.0,18.99,Oral Solids
Pain and Inflammation,Acetaminophen-DM,OTC,1,1.0,1.0,1.0,10.39,Oral Liquids
Pain and Inflammation,Aspirin 13,OTC,1,3.0,5.0,3.0,11.99,Oral Solids
Pain and Inflammation,"Aspirin, Buffered 5",OTC,1,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,"Aspirin, Buffered 6",OTC,1,3.0,4.0,4.0,11.99,Oral Solids
Pain and Inflammation,Ibuprofen 14,OTC,1,3.0,5.0,3.0,13.49,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 13,OTC,1,2.0,5.0,3.0,10.99,Oral Solids
Pain and Inflammation,"Dextromethorphan-Guaifenesin, Guaifenesin, Cpm-Pseudoeph-DM-Acetaminophen",OTC,1,2.0,2.0,1.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen-DM 2,OTC,1,5.0,5.0,5.0,10.39,Oral Liquids
Pain and Inflammation,Acetaminophen 67,OTC,1,4.0,2.0,4.0,11.99,Oral Solids
Pain and Inflammation,Ibuprofen 15,OTC,1,1.0,1.0,1.0,13.49,Oral Solids
Pain and Inflammation,Aspirin 14,OTC,1,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 68,OTC,1,5.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,"Pseudoephedrine-Ibuprofen, Ibuprofen",OTC,1,5.0,5.0,5.0,18.99,Oral Solids
Pain and Inflammation,Acetaminophen 69,OTC,1,5.0,4.0,5.0,11.99,Oral Solids
Pain and Inflammation,Ibuprofen 16,RX,1,5.0,5.0,5.0,13.49,Oral Solids
Pain and Inflammation,Naproxen-Pseudoephedrine 6,OTC,1,5.0,4.0,4.0,18.99,Oral Solids
Pain and Inflammation,Acetaminophen 70,OTC,1,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,"Doxylamine-PE-DM-Acetaminophen, Diphenhydramine-PPA-ASA",OTC,1,4.0,5.0,5.0,8.69,Oral Liquids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 14,RX,1,5.0,5.0,5.0,10.99,Oral Solids
Pain and Inflammation,Acetaminophen 71,OTC,1,3.0,3.0,5.0,11.99,Oral Solids
Pain and Inflammation,"Pseudoephedrine-Ibuprofen, Brompheniram-PSE-Acetaminophen",OTC,1,1.0,4.0,1.0,18.99,Oral Solids
Pain and Inflammation,Ibuprofen 17,OTC,1,5.0,5.0,5.0,13.49,Oral Solids
Pain and Inflammation,Aspirin 15,OTC,1,4.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Chlorpheniramine-Acetaminophen,OTC,1,3.0,5.0,1.0,10.49,Oral Solids
Pain and Inflammation,Naproxen-Pseudoephedrine 7,OTC,1,4.0,4.0,2.0,18.99,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 7,OTC,1,5.0,5.0,5.0,27.54,Oral Solids
Pain and Inflammation,Cpm-PPA-DM-Acetaminophen 2,OTC,1,4.0,4.0,4.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 72,OTC,1,3.0,4.0,3.0,11.99,Oral Solids
Pain and Inflammation,Phenyltoloxamine-Acetaminophen 15,RX,1,5.0,5.0,3.0,10.99,Oral Solids
Pain and Inflammation,Cpm-Pseudoeph-DM-Acetaminophen 4,OTC,1,5.0,5.0,1.0,8.28,Oral Solids
Pain and Inflammation,Cpm-Pseudoeph-DM-Acetaminophen 5,OTC,1,5.0,5.0,5.0,8.28,Oral Solids
Pain and Inflammation,"Chlorphenir-Phenylephrn-Aspirn, Diphenhydramine-Acetaminophen, Cpm-Phenyleph-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",OTC,1,2.0,2.0,5.0,8.28,Oral Solids
Pain and Inflammation,Ibuprofen 18,OTC,1,4.0,3.0,3.0,13.49,Oral Solids
Pain and Inflammation,Indomethacin 4,RX,1,1.0,4.0,1.0,15.99,Oral Solids
Pain and Inflammation,Doxylamine-DM-Acetaminophen 8,OTC,1,4.0,5.0,4.0,9.99,Oral Liquids
Pain and Inflammation,Chlorpheniram-DM-Acetaminophen 3,OTC,1,3.0,5.0,2.0,8.79,Oral Liquids
Pain and Inflammation,Ibuprofen 19,OTC,1,4.0,4.0,4.0,13.49,Oral Solids
Pain and Inflammation,Acetaminophen 73,OTC,1,2.0,3.0,4.0,11.99,Oral Solids
Pain and Inflammation,Phenylephrine-DM-Acetaminophen 2,OTC,1,5.0,5.0,5.0,12.11,Others
Pain and Inflammation,Aspirin 16,OTC,1,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,Aspirin 17,OTC,1,3.0,4.0,4.0,11.99,Oral Solids
Pain and Inflammation,Naproxen Sodium 8,OTC,1,4.0,3.0,4.0,61.39,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 8,OTC,1,4.0,5.0,1.0,27.54,Oral Solids
Pain and Inflammation,Aspirin 18,RX,1,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 74,OTC,1,4.0,5.0,5.0,11.99,Oral Solids
Pain and Inflammation,Acetaminophen 75,OTC,1,3.0,3.0,3.0,11.99,Oral Solids
Pain and Inflammation,Doxylamine-PE-DM-Acetaminophen,OTC,1,5.0,5.0,5.0,8.69,Oral Liquids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 9,OTC,1,4.0,5.0,4.0,27.54,Oral Solids
Pain and Inflammation,Phenyleph-DM-Acetamin-Guaifen 10,OTC,1,3.0,5.0,3.0,27.54,Oral Solids
Pain and Inflammation,Ibuprofen 20,RX,1,3.0,3.0,3.0,13.49,Oral Solids
Pain and Inflammation,"Aspirin, Buffered 7",OTC,1,1.0,1.0,1.0,11.99,Oral Solids
Pain and Inflammation,Ibuprofen 21,RX,1,4.0,5.0,2.0,13.49,Oral Solids
